"age_group","count","region","age_group_description"
1,"57",1,"0-19"
2,"69",1,"20-29"
3,"85",1,"30-39"
4,"69",1,"40-49"
5,"102",1,"50-59"
6,"95",1,"60-69"
7,"66",1,"70-79"
8,"57",1,"Above 80"
9,"12",1,"Not stated"
1,"820",2,"0-19"
2,"2372",2,"20-29"
3,"2458",2,"30-39"
4,"3021",2,"40-49"
5,"2885",2,"50-59"
6,"1834",2,"60-69"
7,"1637",2,"70-79"
8,"4390",2,"Above 80"
9,"24",2,"Not stated"
1,"592",3,"0-19"
2,"1871",3,"20-29"
3,"1813",3,"30-39"
4,"1918",3,"40-49"
5,"2115",3,"50-59"
6,"1495",3,"60-69"
7,"1027",3,"70-79"
8,"2312",3,"Above 80"
9,"13",3,"Not stated"
1,"390",4,"0-19"
2,"471",4,"20-29"
3,"635",4,"30-39"
4,"646",4,"40-49"
5,"442",4,"50-59"
6,"248",4,"60-69"
7,"115",4,"70-79"
8,"137",4,"Above 80"
9,"8",4,"Not stated"
1,"37",5,"0-19"
2,"136",5,"20-29"
3,"194",5,"30-39"
4,"166",5,"40-49"
5,"213",5,"50-59"
6,"141",5,"60-69"
7,"101",5,"70-79"
8,"157",5,"Above 80"
9,"3",5,"Not stated"
