"region","count","episode_week_start_date","episode_week_end_date"
1,"1","2020-03-01","2020-03-07"
1,"15","2020-03-08","2020-03-14"
1,"100","2020-03-15","2020-03-21"
1,"100","2020-03-22","2020-03-28"
1,"70","2020-03-29","2020-04-04"
1,"72","2020-04-05","2020-04-11"
1,"77","2020-04-12","2020-04-18"
1,"54","2020-04-19","2020-04-25"
1,"27","2020-04-26","2020-05-02"
1,"9","2020-05-03","2020-05-09"
1,"6","2020-05-10","2020-05-16"
1,"2","2020-05-24","2020-05-30"
1,"2","2020-05-31","2020-06-06"
1,"77","2020-06-30","2020-06-30"
2,"28","2020-02-23","2020-02-29"
2,"41","2020-03-01","2020-03-07"
2,"276","2020-03-08","2020-03-14"
2,"1008","2020-03-15","2020-03-21"
2,"1171","2020-03-22","2020-03-28"
2,"1263","2020-03-29","2020-04-04"
2,"1519","2020-04-05","2020-04-11"
2,"1990","2020-04-12","2020-04-18"
2,"1941","2020-04-19","2020-04-25"
2,"2083","2020-04-26","2020-05-02"
2,"1716","2020-05-03","2020-05-09"
2,"1657","2020-05-10","2020-05-16"
2,"1299","2020-05-17","2020-05-23"
2,"829","2020-05-24","2020-05-30"
2,"432","2020-05-31","2020-06-06"
2,"207","2020-06-07","2020-06-13"
2,"1981","2020-06-30","2020-06-30"
3,"5","2020-02-23","2020-02-29"
3,"48","2020-03-01","2020-03-07"
3,"287","2020-03-08","2020-03-14"
3,"748","2020-03-15","2020-03-21"
3,"786","2020-03-22","2020-03-28"
3,"1069","2020-03-29","2020-04-04"
3,"1335","2020-04-05","2020-04-11"
3,"1692","2020-04-12","2020-04-18"
3,"1180","2020-04-19","2020-04-25"
3,"1078","2020-04-26","2020-05-02"
3,"846","2020-05-03","2020-05-09"
3,"997","2020-05-10","2020-05-16"
3,"953","2020-05-17","2020-05-23"
3,"828","2020-05-24","2020-05-30"
3,"681","2020-05-31","2020-06-06"
3,"443","2020-06-07","2020-06-13"
3,"180","2020-06-30","2020-06-30"
4,"15","2020-03-01","2020-03-07"
4,"92","2020-03-08","2020-03-14"
4,"222","2020-03-15","2020-03-21"
4,"170","2020-03-22","2020-03-28"
4,"132","2020-03-29","2020-04-04"
4,"336","2020-04-05","2020-04-11"
4,"567","2020-04-12","2020-04-18"
4,"451","2020-04-19","2020-04-25"
4,"342","2020-04-26","2020-05-02"
4,"190","2020-05-03","2020-05-09"
4,"130","2020-05-10","2020-05-16"
4,"75","2020-05-17","2020-05-23"
4,"76","2020-05-24","2020-05-30"
4,"91","2020-05-31","2020-06-06"
4,"94","2020-06-07","2020-06-13"
4,"109","2020-06-30","2020-06-30"
5,"11","2020-02-23","2020-02-29"
5,"35","2020-03-01","2020-03-07"
5,"151","2020-03-08","2020-03-14"
5,"178","2020-03-15","2020-03-21"
5,"118","2020-03-22","2020-03-28"
5,"91","2020-03-29","2020-04-04"
5,"84","2020-04-05","2020-04-11"
5,"58","2020-04-12","2020-04-18"
5,"62","2020-04-19","2020-04-25"
5,"47","2020-04-26","2020-05-02"
5,"20","2020-05-03","2020-05-09"
5,"42","2020-05-10","2020-05-16"
5,"26","2020-05-17","2020-05-23"
5,"14","2020-05-24","2020-05-30"
5,"18","2020-05-31","2020-06-06"
5,"25","2020-06-07","2020-06-13"
5,"168","2020-06-30","2020-06-30"
